text	label
儿子生意不景气工作不顺心受气刚刚听他说这些的时候真的挺上火的尤其是工作上受气等我以后有能力了我要让那些让他受气的人吃不了兜着走	愤怒
两张图片呵呵猜到了宁愿不这么聪明是我自己自讨苦吃蒙蔽了双眼果然啊呵呵呵呵还跟个傻逼似得相信别人真相来的太早	悲伤
为什么既不来找我也不和我分手	愤怒
忍一忍忍一忍忍一忍此时此刻我的内心是崩溃的	愤怒
总会有不想追逐的时候总会有不被理解的时候总会有委屈辛酸的时候	悲伤
分泌物较多且创面较深时宜用生理盐水冲洗如坏死组织较多可用攸锁或其他消毒溶液冲洗	无情绪
域名是国家顶级域名（）国际通用是英文（商业公司）的缩写含义明确简单易记方便公众理解	无情绪
继杨爱瑾与傅颖之后现四位成员均已离开金牌大风	无情绪
清晨醒来发现外面下着雨感觉好有诗意	积极
我用网看了两集北上广不相信眼泪才发现没开无线网气死宝宝了	愤怒
我好像没有原来帅了可才过了个月啊啤酒杯	悲伤
願餘下的日子里美好能夠多一些快樂能夠如影隨形	积极
世纪年代以来一些发达国家和地区的服务贸易已超过一般商品贸易	无情绪
我自己好不容易到了一盒本来想自己留着吃结果还是必须发给你们我容易吗	悲伤
很多失败不是因为能力有限而是因为没有坚持到底	积极
算了一算鲜艳摸哥曾老她们现在又在教高三了好快啊	积极
总有一天你会遇到一个绚丽的人让你觉得其他人都是浮云	积极
详情学校成立于年是市政府十大民生工程之一	无情绪
公司年会礼品十分土豪全是进口高科技电子产品还有万现金奖我全程都是这个	积极
我老爹岁还长个了然而姜胜允岁进后就没怎么长个	悲伤
走着走着终于明白走着走着我醒了不再对所有人好谁对我好我就对谁好走着走着我知道了日久不一定生情但一定能够见人心走着走着我明白了没有谁会像父母一样一直包容并原谅你走着走着我害怕了因为年龄越大离开我的亲人就越多生命无常走着走着我畏惧了全文	恐惧
睡一宿觉醒来一看莫名其妙的嘴肿了	愤怒
没有机会做大事的人是因为没有通过做好小事来证明自己的实力放在越不起眼的地方越要主动发光在别人不敢委以重任之前把小事做到极致来证明你的实力——可惜大多数人永远都想不明白这个道理怨天尤人者居多有的似乎明白了又不去实践所谓蹉跎岁月想必就是如此	积极
哇塞买了回国机票	积极
今天这工作效率晚上又要熬夜了	悲伤
乌鲁木齐铁路局地处西北边陲的多民族地区	无情绪
难道卷刘海这种事就只能靠运气了吗	惊奇
一回来就遭宰前三盘就遭了个五翻了今年不打牌了妈的	愤怒
以前他为了让我做他女朋友他什么手段都会用不让别人靠近我现在别人想靠近了他却无所谓他的心里到底是怎么想的你的话实在让我太心寒了你知不知道	愤怒
心情超不爽的～不知道谁装不记得还是真不记得了～	愤怒
想骂火箭打得跟翔一样算了还是不侮辱翔了	愤怒
：彼此互相推委皆弃之不收反遗之以与金人用	无情绪
突然觉得世界好大可是却没有我的容身之地	悲伤
果实性状：总苞中型刺束中密较硬	无情绪
一晚上不晓得被蚊子咬了多少次手上脚上脸上都有它留下的痕迹	愤怒
瑞昌市立即成立联合调查组初步调查认为高奉青行为涉嫌诈骗其外逃原因或为躲避债务	无情绪
在这风中凌乱了一下午临睡时却思绪万千海拔四千多都上去了怎么就过不去心里那道坎呢这次你还是不在	悲伤
那些苦难的日子是谁陪着你对不起	悲伤
靠他大爷干啥都不能干的丽丽亮亮的	愤怒
啊哈第一次发面蒸包子～居然成功了～	积极
为什么总是这样天天加班从早上六点到现在烦人	愤怒
求解醋吃多了会腐蚀胃吗胃好难受好难受	悲伤
一座让我既向往又害怕既激动又畏惧的城市不主动向前走就是被动挨宰天津·天津	悲伤
春娇与志明感觉张志明好像是个渣男新月	愤怒
找一個人打打鬧鬧不正不經過一生好像也挺有趣的各位覺得呢	积极
非常清楚无论在哪里都没有公平而言但是在我看来就是非常严肃的事儿但是一直都是一个非常骄傲的人凭什么接受这样的结果别把别人当傻子只想孕妇赶紧给我报销土都吃不起了	愤怒
总人口人年村民人均收入元	无情绪
选择犹豫决定徘徊和不安定的心合在一起组成的生活无数次坚定又无数次变化什么时候才能真真切切知道自己想要啥呢呢呢也许对过一次之后又也许错过一万次之后还是回头好好刷题吧	悲伤
捡了一点红叶次日变的不那么艳丽啦南方城市中仿佛少了秋季看到这红叶我很开心正好家里还剩几个橘子合个影吧	积极
张嘉佳你是啰嗦鬼可还是喜欢你	积极
我们农民工讨薪真难啊我们在中铁等了四天了啊	愤怒
培养学生用心把事情做好促使学生形成勤奋文明健康进取的良好学风培养学生成为有修养的小公民	积极
但同时新桂系还通过贩卖鸦片来增加收入	无情绪
有时候觉得自己坚强到无所不能然而夜深人静的时候所有软肋才会突显出来似乎读懂了那一句陪伴是最长情的告白其实都明白战战兢兢的原因只是因为我们没有把握的未来延安·宝塔区	悲伤
这的确是个好消息赶紧告诉我的好朋友去	积极
感谢天感谢地感谢自己刚刚正好赶上车感觉一天都开心了啦啦啦	积极
上个班不容易啊一天检查检查检查对你们就那么重要非要把你们所谓工作好的换到一起来迎检我的工作就那么让你肯定吗真闹心的工作这万一哪个环节出问题就变成罪人了压力山大啊真的累啊身体累就算了心更累还让人活不活这样下去真要被整疯	愤怒
天猫盒子自说自话把我下的直播和还有沙发管家这些全删了强盗啊麻痹盒子还能强制删除的一刚哈尼心	愤怒
哥俩岁了很开心要永远在一起哦	积极
大早晨起来开批斗大会也是够了让我整天都不好了	愤怒
还什么韩国最新还最稳定完全不给力	愤怒
不知道在别人眼里的我如何总之我是能被吓哭的人嘻嘻	积极
这个纸飞机真的不一般相信很多人小时候都玩过纸飞机不过呢这个纸飞机真的太逆天了	积极
我果然是乖巧贤惠懂事的好姑娘给爷爷奶奶织围巾的我简直可爱极了	积极
据说今天是感恩节感恩自己抓紧时间起床喽愿能享受一顿美美的早餐早安	积极
一个二个像他妈打了鸡血的一样七八点钟就开始东整西整老子不晓得起浪个早赶到去投胎是不是和你们待在一起都要少活好多年细胞都不晓得要死好几亿不晓得上辈子是做了浪个恶事让我遇到你们这堆人	愤怒
就是睡不着看到不该看的哎这让姐儿肿么安眠恶心呕吐发毛讨厌蝙蝠	愤怒
抵制诱惑认真养成好习惯早睡打卡	积极
函数接受的参数除了快慢等还可以接收整型作为渐入或淡出的完成时间单位为	无情绪
两年前的跑步机上现在感觉长时间跑步我的半月板受挫	无情绪
曾经相隔一间隙如今仿佛两世界情商低一定不是答案过分敏感以至于将自己包裹起来恩大抵是这样改变即刻开始每一次从空到满再倒空这都应是成长的过程	积极
至少努力努力过了不開心不開心不開心不開心不開心还是那样的不如意	愤怒
下午去办新号被客户经理放了鸽子楼下等了十五分钟连个影子都没见打电话不接也不回气呼呼的回到办公室因为完全无法理解——一个小时后客户经理打来电话听完原因还是一肚子火但是想到人家也不是故意的竟然也发不出来脾气只能喝杯甜的安慰一下自己	愤怒
真是火大做了一遍乱码白做重做又乱码破系统能不能不闹	愤怒
每次安检都被摸个遍你看你是女的我就没脾气是吧	愤怒
史记·吕太后本纪：太傅产丞相平等言武信侯吕禄上侯位次第一请立为赵王	无情绪
如果我们再见的时候我还是硬着脖子不回头你就走吧远远的别回头	悲伤
像你那样不理世俗活着挺好我向你学习得高冷	积极
我的主号莫名其妙被锁定了强制要我绑定手机号我没有手机号可用了不要就不要了微博药丸	愤怒
天天這呼嚕聲我也是醉了我要睡覺氣了想給我桌子從床上扔下去	愤怒
一个月的工资都不够我花真是日了狮子狗了	愤怒
重庆市火车站南广场对残疾人服务态度太差了	愤怒
最荒唐的事情就是发现考试是在星期六而不是星期一啊	惊奇
还真是人一倒霉喝凉水都塞牙车小汽车电瓶坏了打不着火也就算了打个出租车出租车让他来接我结果自己撞杆儿上了水箱还给撞漏了然后我还淋了雨这一路战战兢兢的我也是醉了流汗流汗流汗不过最担心的还是那司机毕竟这大半夜的还下着雨上哪儿修车啊晚安自己晚安心语全文	悲伤
年任广西大学军训部主任次年任广西军警督察署参谋长	无情绪
是不是我一直都不会出现在你的朋友圈里	悲伤
就不能给点安静的空间做人就不能知足么整天比来比去的有意思么靠烦躁不爽掐死得了	愤怒
天天本来电话就多现在隔个两三天不是什么卖房的就是贷款的现在又多了个问我找不找工作的都是哪里蹦出来的	愤怒
断奶之后睡觉可真香但是居然一个星期吃了一罐奶粉	惊奇
旧历啧啧啧愿望就是吃好睡饱身边人好	积极
请北京机场的保安出来道歉你们保安这么没素质吗请道歉	愤怒
结业于中国书法家协会书法培训中心书法研修班	无情绪
已养成随手截图的好习惯胖杉的鱼塘赵丽颖	无情绪
看喜剧总是能让人一身轻松忘掉烦恼	积极
在学校的日子里是初中生最难熬的生活	悲伤
如此心塞的一晚每天瞎折腾也不知道折腾点啥最近做的东西也不少却没一点成就感	悲伤
有些人才遇见了那么一下子：就好像认识了很久似的什么事都想和他说	无情绪
只有最后一个比较吓人最后一个好凶恶吓死了	恐惧
小时候家里穷希望能有一件自己的玩具现在也是	悲伤
又干了一件蠢事儿没确定问清楚货就跑过去验货结果人家货还在工厂我去被自己蠢哭了	悲伤
独特的课程架构：贯穿此课程的是通过肢体动作来演绎而只有通过文字来解说是目前在培训界文字较少的课程之一	无情绪
新火车站新胜利大街将几百亿元资金埋在地下新火车站与新胜利南街的规划建设注定这里区域价值必定呈飞速上升趋势区域发展潜力不言而喻	无情绪
年代初一系列话剧如车站野人一个死者对生者的访问等的出现形成了探索剧的潮流	无情绪
微博摄影大赛宝贝儿们棒棒哒爱你们❤️	积极
坐在我旁边的两只耗子一直不停的制造噪音我冷冷的盯着这两只死耗子你不让我好好看书我也不让你好好看书	愤怒
老公出来了为什么要和别人亲嘴	愤怒
花千骨里赵丽颖为白子画取血做药引云中歌里赵丽颖为刘弗陵取血做药引赵丽颖的血是万能的吗	惊奇
所以不是沉鱼落雁闭月羞花你怎么还不来	悲伤
周二开始工作啦可怕的拖延症认真对待每件你该去完成的工作心情心情	愤怒
我说了那么多这次我少说点晚安	无情绪
得罪几个人做糟糕几件事其实没那么可怕一辈子活得委曲求全战战兢兢才最可怕石家庄·新百广场（商	无情绪
可怕的噩梦令人震惊出门在外安全最重要阿门	惊奇
可怕骷髅只想知道整容后还能活多久惊恐	恐惧
幸福其实是种感觉就像一盏烛光当你穿行在万家灯火总有暖暖的萤光照亮你回家的路；像一抹回味萦绕在心际甜酸苦辣都是曾经的追逐；就像一份渴望当憧憬岁月的皱纹爬满额头仍坦然欣喜无愧无悔幸福是一杯想象梦想着把平凡的谷米酝酿成美酒的芬芳然后用生命守候与珍藏	积极
跌跌撞撞磕磕碰碰這兒疼那兒酸渾身是傷尼瑪崩潰想哭	悲伤
水涨船高ǐǎáā：水位升高船身也随之浮起	无情绪
享誉全球的性自助指导大师贝蒂·道森一直致力于性解放运动提供了许多实际的好点子以供男女改进其性技巧共享彼此高潮	积极
妈个鸡晒个被子收回来的时候上面全是烟灰	愤怒
期中考试全年级流水改卷子我正好改字的笔顺那一条题目眼睛已瞎	悲伤
最近穷的话费都充不起了还怎么过日子	悲伤
死之并不可怕但是死亡的过程实在太恐怖了好似人间地狱之间的渄洄新乡·牧野区	恐惧
第四十七条以下全省性大型会议由省政府召开：（一）传达贯彻党中央国务院重要会议精神部署全省性工作的会议	无情绪
事后还是有点心有余悸安全第一吧	恐惧
李花英李花英姐看了这么多年韩剧都没见过这么无耻卑鄙的女二号穷凶恶极集天下之大恶于一身的角色姐一直很理智的看剧看了杜鹃之巢真的集挨着骂过去的	愤怒
当我知道第一时的喜悦当我想拥抱你们时的兴奋当我看到身在北京的男神对我说加油时的幸福当我回忆过去奋斗的艰辛与苦累时的淡定当我发现词乏无法描述自己的心情我真切地感受到你们于我是无上的荣耀真想紧紧抱着你们狠狠亲一口	积极
我想买件羽绒服因为没钱双十一一分没花心心念念着刚大学毕业工作各种艰难各种没钱生存边挣扎	悲伤
此外由于涤纶大分子也能形成伸直链结晶（原纤化结晶）	无情绪
校门高米宽米	无情绪
吃的也带给我压力真是因为惦记着早点竟然没办法睡懒觉我这个	愤怒
沙僧啊把吃过的人头骨串起来当珠子戴着感觉又是一个恐怖片好题材惊恐	恐惧
大部分人打的时候的内心独白：让你点我怼死你卧槽还想反补傻逼辅助抢我正补喜欢跳卧槽这箭躲不过去了完了完了要死要死装了逼还想走会不会啊这波不亏哎死了就死了换个大哥也值了你接技能卧槽你卖我孙子你别跑团战的时候卧槽队友人呢	愤怒
我的听力还没听完室友就开始打鼾了姑娘咱这可是女生宿舍啊	惊奇
间歇性厌工作烦阻力症发作可是上班哪里是说不玩就不玩了的	悲伤
原本打算画元素拟的后来变成了物态拟然后大家都来玩物态拟了我我我好惊讶	惊奇
昨晚看了视频梦到看鹿哥演唱会他把头上帽子扔给我了	积极
没有带鼠标的一天简直跟断了手一样难受	愤怒
我只是想试玩一下谁知道既然中了得意了几天可是刚刚一盆冷水突如其来	惊奇
若是炝呀腌呀有灶哇：白薯通心菜眼前若是炝呀腌呀有灶哇白薯通心菜眼前	无情绪
扫选浮选机是矿用浮选机的一种设备该设备广泛应用于铜铅锌镍钼等有色金属黑色金属和非金属矿物的粗选精选和反浮选作业	无情绪
做出客观公正的审计结论防止审计风险的产生	无情绪
最怕脑残志坚的人气地想撞墙饭都吃不下外面这么冷我气的要喷火了牙都要咬碎了	愤怒
心情更加不美丽破不了纪录某人还哼哼	愤怒
怎么就那么不喜欢乐视直播的解说给自己牛逼完了说的一套一套的好像自己要是本场的主帅这场球稳赢似的太可气了	愤怒
别不好意思拒绝别人因为那些好意思难为你的人都不是什么好人	愤怒
这才几点就起来复习看看看才几点	愤怒
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈	积极
就物流方面而言在提高物流活动效率化的同时从保障国民日常生活的观念出发确保稳定而安全的物流服务	无情绪
缠绵游戏过后为何能舍得放手是定律或是爱不够	悲伤
以为它是幅科幻电影的场景设计木有想到它是真的	惊奇
被一个疯子把一天的好心情都破坏了世界上有病的人真是不少	愤怒
大雨天只想戴着去健身房赛跑现实却是拎着一堆图纸去上班	愤怒
被初中同学拉进群我能说除了三五人我几乎都不认识了么	惊奇
真是恶心到爆了不就一个么搞得人家都没钱买的样子炫给谁看啊用还没用熟呢还装求别再跟我说了我真的骂人了	愤怒
虽然还是没想通看开那件事不过我决定翻篇了如果再有可能晚安	悲伤
特么的谁盗我微博真是日了动物园了	愤怒
臭老鼠子再破坏我的一点红我跟你们拼命小红不要死啊	愤怒
年月下旬当三年期限结束的时候她赴山东大学进行学位答辩论文题目就是诗歌翻译的韵律问题	无情绪
设备轻巧操作简单安全可靠免除高压危险	无情绪
昨天晚上我被热醒了二次没错不是冷醒是热醒我过的是哪门子的冬天	愤怒
早上吼白云蓝天今天的心情是美美哒	积极
难受一个人身上味道好重的挨着我睡	愤怒
十一点开始售票为什么现在放这么少的票呢	愤怒
这张画今天拍卖了多万美元	惊奇
数学不好是硬伤啊伤顺便：该花的钱一定不要攒没球用都是给别人攒的	愤怒
乃木坂太郎的漫画真的可怕对人性的刻画恐怖又真实	无情绪
价格：光地费用：英镑平方米标摊费用：英镑平方米报名费：英镑企业（以上价格不含）	无情绪
昨天下着小雨加上我很困心情也没有多好就酱我又碰到了你什么叫眉眼之间都是笑意那就是我看见你之后的微笑啊	积极
她远离都市的喧嚣尽享乡村的宁静	无情绪
贵友臭导购真尼玛狗怂卧槽真想擂她一大掌	愤怒
有些时候可能真的过于做自己连真切所在的环境都忘记深切感受也许是太过傲娇忘记了如何表达月亮	悲伤
第话月因生死不明而逆袭使得本体觉醒自身也被重新封印	无情绪
知道今天是女神的课故一下班就了出去尽管上班压力颇多但只要看到女神潇洒的步伐觉得一切又是那么美好	积极
半夜被宾馆隔壁啪啪啪吵醒让不让人睡了	愤怒
年毕业于重庆医科大学医疗系年获重庆医科大学妇产科硕士学位发表论文数篇对分娩发动的机理和早产的防治有较深入的研究	无情绪
一晚上饿得翻来覆去的不舒服不好受眼睛好困可肚子饿到快飞起来	愤怒
我们花了两年学会说话；却要花上六十年来学会闭嘴大多数时候我们说得越多；彼此的距离却越远矛盾也越多	悲伤
觉来正是平阶雨独背寒灯枕手眠	无情绪
有没有哪块还有厦门老房子的那种感觉的地方啊最好是那种木窗花地砖那种感觉的拍照摄影录视频用急求	无情绪
每次等这破公交都差一点点今天真的是都快要赶上了车还开走了有时候对司机真的是无语的想想真是火大	愤怒
忙着赶在之前把事情做完之后才能愉快玩耍开心的是终于又可以同一时区说晚安了～大王骨奶～～	积极
如果黑色代表著冷酷神祕恐懼顯瘦那麼透明又代表著什麼想著一個人的顏色又是什麼	悲伤
我是多不机灵不会立刻编个谎话说好不帮忙烦死帮了也不会感恩而且都成年了说话也要负责任被迫帮忙两字恶心	愤怒
世间许多事都是经不起推敲的逃不了灰飞烟灭但为了生存或者成就自我你得去做沉下心去做做好当下手中的一针一线不积跬步无以至千里虽踽踽前行颤颤巍巍前路漫漫但除了前进别无他法后退不得啊停滞不得啊	积极
天三个月继续幸福加油心情🏻心情🏻心情🏻	积极
文子也是瘦过的好吗请不要再伤害我了特么的这个月都要喝西北风了这是要瘦要瘦要瘦的节奏好么还有某狗说你脸小啊我好开森啊还没激动完特喵的来了一句可你脸看起来蛮多肉的卧槽爱过	愤怒
烦烦烦与死亡擦肩而过的人如果还不能从自身去意识到问题所在那这个代价实在是太大了一条人命啊	愤怒
吼吼吼下雪咯前后各贴个暖宝宝走路上学来打雪仗哈哈哈不要太拼就酱下雪粗卡撒花	积极
和一个人在一起如果他给你的能量是让你每天都能高高兴兴起床每夜都能安心入睡做每一件事都充满了动力对未来满怀期待那你就没有爱错人真正的感情永远不是以爱的名义互相折磨而是彼此陪伴成为对方的阳光	积极
卡泰米是由年从他处搬到廖内省杜迈·泰米尔分区巴基特·巴特里姆村居住但其邻居表示打那以后老太太的模样似乎就一直未见什么变化	无情绪
学会拒绝学会拒绝学会拒绝重要的事情要说三遍	愤怒
我说怎么今天这么没精神原来是感冒了眼睛睁不开还一直流鼻涕打喷嚏根本没办法集中精力我可不可以再休息一天	悲伤
你们既然放甄嬛传为何要把当中那么多片段给切了要放就好好放嘛你们把这么多片段切了还有什么意思啊山东卫视	愤怒
十点半一过今天说过的话都不算数	无情绪
蹦沙卡拉卡蹦沙卡拉卡好吧累了	悲伤
电池年产其成本是晶体硅太阳电池的～能量偿还时间在一年之内远远低于晶体硅太阳电池	无情绪
看看蓝天雪山黄叶瞬间觉得生活美好了	积极
本来我也想着遇见你就是结局我说下雪了啊好像过年一样	积极
一些陨石的结构中也显示出有些小行星也发生过分化的作用	无情绪
请你记住我现在的体重我要是不瘦评论这条微博的人我每个人发一百块说到做到	愤怒
有点小恐怖不知不觉今年已经买了这么多东西了	恐惧
办公室就三个人同事在看股票也没干别的我就想发个邮件狗日的居然发不出去我偷偷看了一眼领导唉我该如何委婉的提醒他别下东西了	愤怒
一到睡觉时间就痛苦长期失眠的我快要疯了有何药可治	愤怒
在以后的发展中我们会根据市场需求人民的需要添加相应的版块	无情绪
付一雄你在上我微博我就跟你急	愤怒
画不好好烦真的不开心手绘头像真心画不好	悲伤
为我们生活在河南的考生没有猝死应该感到万幸	悲伤
我不知道未来有多远但我知道从现在的每天开始要把自己的工作做好什么都不要怕大步往前走就好了今天乔振宇还是帅帅的哈哈哈哈自己犯傻还把导演认错了太丢脸了哎下次要注意了不能再犯这种事了哈哈哈哈哈嘎嘛的	积极
黑龙江幼教指导网是由中国教育学会黑龙江幼教课题组专家在课题研究的基础上创办的大型专业性公益性幼儿教育指导网站	无情绪
是中航二集团的重点指令性项目年月由国防科工委正式立项批复哈飞第一次自主担纲整机设计并作为项目责任单位开始研制	无情绪
氧气一哥快手达人二驴今天在夜店户外直播竟然公开亲学生妹	惊奇
首飾坏了说是带来好运的紫水晶坏了心疼死宝宝了	悲伤
明明点就困意浓浓竟然到现在都睡不着真是	悲伤
扑街今日好气接了个电话差点被骗了诈骗电话一大堆妈的这次差点上当	愤怒
有一种爱是即使你让我先睡我也要等你回来因为我脚凉需要捂捂哈哈哈	积极
今天得知我的大闺蜜海峰姐从楼梯上摔下来了心里瞬间纠了起来碰了胳膊和头胳膊也抬不起来了好心疼我没在她身边想帮她做做饭照顾照顾他都够不着	悲伤
衍射光栅是一种由密集﹑等间距平行刻线构成的非常重要的光学器件分反射和透射两大类	无情绪
导了一上午的电子单据系统慢的让我真生不如死	愤怒
荒岛这傻逼又倒贴我西皮还不情不愿的	愤怒
老太太不对也绝不能以这种方式现在的人都怎么了竟然这么多说踹的对的真是滥到底了	愤怒
热又太热冷又太冷到底想怎样嘛这是完全不懂穿啥买啥	愤怒
周觅出道主打歌韩文版公开由灿烈参与一起来欣赏吧	积极
要时刻保持冷静的头脑要从内心感觉到寒意要总结各种心理要从失败中积累要回合制要多看极限运动多刺激自己麻木的神经多思考懂得换位做好记录要习惯在任何时候都显得有城府哪怕是装的也要有模有样	积极
只有你身边的人走了你才会懂得珍惜	悲伤
错过只在一瞬思念却是一世	悲伤
他认为涉深水者得蛟龙立大志者有大作为非志无以成学非学无以成才以精诚专攻之恒毅才可见水滴穿石之神奇	积极
初雪牵手慢行风雪中有种到白头的感动带着宝贝儿们打雪仗堆雪人游乐这个美丽的银装世界温暖如春	积极
他们利用高通量的亚硫酸氢盐测序和单分子测序产生了覆盖大部分岛的甲基化图谱	无情绪
周年以夏孢子转移侵染借助气流传播	无情绪
定价那么低不挣个位数工资都不要发了→→→→→→	愤怒
牵挂与被牵挂在我们的生命中是不可缺少的牵挂是不知对方是否也在牵挂你所以会忧伤而这种忧伤只能自己默默的承受忧伤会让你心酸悲痛泪流满面让你在生活中惴惴不安牵挂对方时用心去感受对方的牵挂并且送上真诚的祝福苏州·吴江市中联百佳	悲伤
我喜欢并习惯了对变化的东西保持着距离这样才会知道什么是最不会被时间抛弃的准则比如爱一个人充满变数我于是后退一步静静的看着直到看见真诚的感情	积极
我的童年啊虽然画风有些奇怪但是我还是喜欢大和果然还是颜值担当	积极
今晚第一次体验了人体淋巴结按摩（四大部位）颈后侧出的痧和肩膀上拔罐去驱寒的印记那叫一个吓人不过做完以后全身轻松效果真的挺不错	积极
我觉得我爸妈已经不管我死活够可怜了邹巧也这样我只不过叫他陪我聊分钟而已伤心	悲伤
科目一对我来说怎么这么难这么难这么难	愤怒
刚才在外面饭店吃饭有位顾客拿了张新版人民币给老板老板她既然不敢收	惊奇
前几天才说过很久没回南苑想不到这次小米手机居然立下大功本来是要送一个小米到京东返修离家里最近的自提点居然是这里	惊奇
强烈鄙视论说文的审题立意凭什么就那个是正确答案凭什么别的想法就不对	愤怒
得到的都是幸运失去的便是人生	无情绪
中收米就是这么爽心态好了米就来了	积极
人最大的魅力是有一颗阳光的心态日出东海落西山愁也一天喜也一天；遇事不要急躁不要急于下结论尤其生气时不要做决断要学会换位思考大事化小小事化了把复杂的事情尽量简单处理千万不要把简单的事情复杂化	无情绪
打了好多好多字想说好多好多话但是最后还是没按下发送删掉了想说的太多反而就不知道应该从何说起	悲伤
关灯后我竟然听到了蚊子的哼哼声是我幻听了吗	惊奇
大半夜我初中时候的高冷同桌千里传音现场直播南山南真温暖我的世界真心是充满啦爱呀	积极
傻逼客服问什么都回我个疑问问号产品有问题要求退货问它退货地址还是回我问号疑问我的个暴脾气	愤怒
我真他么手贱干嘛没事点进扣扣邮箱	愤怒
谢谢我们家的老大谢谢你一直都这么疼我谢谢你现在给我的一切爱你哟	积极
目前因为包子技能太多太满点菲迷已经练习过倒立然后栽倒撞头劈叉侧踢腿扯到合不拢接下来还会发生什么灾（）难（）呢拭目以待哈哈哈哈哈哈～话说我艾尔莎在马路上骑自行车堪称飞速有人要挑战吗	积极
感冒每天都有新症状关灯打算睡觉开始咳嗽了想一巴掌拍死病毒	愤怒
怎么这么像你本人是用什么做的吗	惊奇
很有主见的姑娘虽然很挑剔还是成功搞定美哒哒	积极
所谓赛金鱼并不是让金鱼打架也不是让金鱼比赛游泳	无情绪
司考成绩快出来了考完也没敢估分每次都隐约觉得自己考了左右我的天我不想再来第三次了求过啊	恐惧
每个人都有恐惧抓住恐惧就能把控人性希望是每个人心中的野兽当精神食粮无法喂养它就要用金钱去喂养它这个世界每个人都害怕贫穷无知不得到别人认可人人都有恐惧的东西你找到它你基本上就能给予他驱使他（添名）	积极
过忙忙碌碌的生活不过是想证明自己是活的有价值的	积极
就我这破嗓子周四又要去石家庄已然说不出什么了	悲伤
除了有滴滴打车没听说过还有滴滴打伞的太有意思了感觉萌萌哒	积极
是的无论怎样你都好帅帅帅帅喜欢你到爆	积极
这两年到底犯了神马冲了接二连三出病号	愤怒
过去的事不后悔将来的事不害怕对于那些应经发生的事要坦然接受无论它对你产生的不利影响有多大它都已经发生了对于那些尚未发生的事要勇于面对无论你把它想象得多么艰难可怕它都还没有发生我们控制不了天气但是我们可以掌控自己的心情否则又如何去掌控人生	积极
我问姚怪如果我们中间没有没乱七八糟的事你会娶我吗姚怪说会没有迟疑真的很高兴就算不能实现也很满足	积极
安安静静的看着你其实你还是曾经记忆中的样子	无情绪
无行为能力人限制行为能力人不得担任集会游行示威的负责人	无情绪
心疼我家两位只希望你们要好好保重身体	悲伤
变瘦才是硬道理要不然多好看的衣服都没法穿变瘦不变瘦我宁愿是一条萌汪	积极
累了就蹲下来抱抱自己很多郁闷的事情还是要自己排解别人永远不懂原来一直都是一个人	积极
变态妻子变态夫你嫌弃离婚就好了呀你愧疚离婚就好了嘛	愤怒
我对珠海的冬天已无期待但好歹给我个秋天呀	愤怒
